sno,chapter_verse,chapter,verse,eng_def,eng_dict,eng_shloka,sanskrit_shloka,hindi_def,hindi_shloka,telugu_def,telugu_shloka,next,prev
0,1.1,1,1,"Dhritarashtra said: O Sanjay, after gathering on the holy field of Kurukshetra, and desiring to fight, what did my sons and the sons of Pandu do?","{""dhṛitarāśhtraḥ uvācha"": ""Dhritarashtra said"", ""dharma-kṣhetre"": ""the land of dharma"", ""kuru-kṣhetre"": ""at Kurukshetra"", ""samavetāḥ"": ""having gathered"", ""yuyutsavaḥ"": ""desiring to fight"", ""māmakāḥ"": ""my sons"", ""pāṇḍavāḥ"": ""the sons of Pandu"", ""cha"": ""and"", ""eva"": ""certainly"", ""kim"": ""what"", ""akurvata"": ""did they do"", ""sañjaya"": ""Sanjay""}","dhṛitarāśhtra uvācha 
  dharma-kṣhetre kuru-kṣhetre samavetā yuyutsavaḥ 
  māmakāḥ pāṇḍavāśhchaiva kimakurvata sañjaya","धृतराष्ट्र उवाच |
धर्मक्षेत्रे कुरुक्षेत्रे समवेता युयुत्सवः |
मामकाः पाण्डवाश्चैव किमकुर्वत सञ्जय ||1||","धृतराष्ट्र ने कहाः हे संजय! कुरुक्षेत्र की पवित्र भूमि पर युद्ध करने की इच्छा से एकत्रित होने के पश्चात, मेरे और पाण्डु पुत्रों ने क्या किया?","धृतराष्ट्र उवाच। 
 धर्मक्षेत्रे कुरुक्षेत्रे समवेता युयुत्सवः। 
 मामकाः पाण्डवाश्चैव किमकुर्वत सञ्जय ॥1॥","ధృతరాష్ట్రుడు పలికెను: ఓ సంజయా, ధర్మభూమి అయిన కురుక్షేత్రంలో కూడియుండి, మరియు యుద్ధ కాంక్షతో ఉన్న నా పుత్రులు మరియు పాండు పుత్రులు ఏమి చేసిరి?","ధృతరాష్ట్ర ఉవాచ ।  
  ధర్మక్షేత్రే కురుక్షేత్రే సమవేతా యుయుత్సవః ।  
  మామకాః పాండవాశ్చైవ కిమకుర్వత సంజయ ।। 1 ।।",1,639
1,1.2,1,2,"Sanjay said: On observing the Pandava army standing in military formation, King Duryodhan approached his teacher Dronacharya, and said the following words.","{""sanjayaḥ uvācha"": ""Sanjay said"", ""dṛiṣhṭvā"": ""on observing"", ""tu"": ""but"", ""pāṇḍava-anīkam"": ""the Pandava army"", ""vyūḍham"": ""standing in a military formation"", ""duryodhanaḥ"": ""King Duryodhan"", ""tadā"": ""then"", ""āchāryam"": ""teacher"", ""upasaṅgamya"": ""approached"", ""rājā"": ""the king"", ""vachanam"": ""words"", ""abravīt"": ""spoke""}","sañjaya uvācha 
  dṛiṣhṭvā tu pāṇḍavānīkaṁ vyūḍhaṁ duryodhanastadā 
  āchāryamupasaṅgamya rājā vachanamabravīt",सञ्जय उवाच ।दृष्ट्वा तु पाण्डवानीकं व्यूढं दुर्योधनस्तदा ।आचार्यमुपसङ्गम्य राजा वचनमब्रवीत् ।। 2।।,संजय ने कहाः हे राजन्! पाण्डवों की सेना की व्यूहरचना का अवलोकन कर राजा दुर्योधन ने अपने गुरु द्रोणाचार्य के पास जाकर इस प्रकार के शब्द कहे।,"सञ्जय उवाच। 
 दृष्ट्वा तु पाण्डवानीकं व्यूढं दुर्योधनस्तदा। 
 आचार्यमुपसङ्गम्य राजा वचनमब्रवीत् ॥2॥","సంజయుడు పలికెను: సైనిక వ్యూహాత్మకంగా నిలిపి ఉన్న పాండవ సైన్యాన్ని చూచిన దుర్యోధనుడు తన గురువు ద్రోణాచార్యుడిని సమీపించి, ఈ విధంగా పలికెను.","సంజయ ఉవాచ ।  
  దృష్ట్వా తు పాండవానీకం వ్యూఢం దుర్యోధనస్తదా ।  
  ఆచార్యముపసంగమ్య రాజా వచనమబ్రవీత్ ।। 2 ।।",2,0
2,1.3,1,3,"Duryodhan said: Respected teacher!  Behold the mighty army of the sons of Pandu, so expertly arrayed for battle by your own gifted disciple, the son of Drupad.","{""paśhya"": ""behold"", ""etām"": ""this"", ""pāṇḍu-putrāṇām"": ""of the sons of Pandu"", ""āchārya"": ""respected teacher"", ""mahatīm"": ""mighty"", ""chamūm"": ""army"", ""vyūḍhām"": ""arrayed in a military formation"", ""drupada-putreṇa"": ""son of Drupad, Dhrishtadyumna"", ""tava"": ""by your"", ""śhiṣhyeṇa"": ""disciple"", ""dhī-matā"": ""intelligent""}","paśhyaitāṁ pāṇḍu-putrāṇām āchārya mahatīṁ chamūm 
  vyūḍhāṁ drupada-putreṇa tava śhiṣhyeṇa dhīmatā",पश्यैतां पाण्डुपुत्राणामाचार्य महतीं चमूम् ।व्यूढां द्रुपदपुत्रेण तव शिष्येण धीमता ।। 3।।,"दुर्योधन ने कहाः पूज्य आचार्य! पाण्डु पुत्रों की विशाल सेना का अवलोकन करें, जिसे आपके द्वारा प्रशिक्षित बुद्धिमान शिष्य द्रुपद के पुत्र ने कुशलतापूर्वक युद्ध करने के लिए सुव्यवस्थित किया है।","पश्यैतां पाण्डुपुत्राणामाचार्य महतीं चमूम्। 
 व्यूढां द्रुपदपुत्रेण तव शिष्येण धीमता ॥3॥","దుర్యోధనుడు అన్నాడు: గౌరవనీయులైన గురువర్యా! ద్రుపదుని పుత్రుడైన, ప్రతిభావంతుడైన మీ శిష్యుడిచే అత్యంత వ్యూహాత్మకంగా నిలుపబడిన ఈ పాండవుల మహా సైన్యాన్ని చూడుము.","పశ్యైతాం పాండుపుత్రాణామ్ ఆచార్య మహతీం చమూమ్ ।  
  వ్యూఢాం ద్రుపదపుత్రేణ తవ శిష్యేణ ధీమతా ।। 3 ।।",3,1
3,1.4,1,4,"Behold in their ranks are many powerful warriors, like Yuyudhan, Virat, and Drupad, wielding mighty bows and equal in military prowess to Bheem and Arjun.  There are also accomplished heroes like Dhrishtaketu, Chekitan, the gallant King of Kashi, Purujit, Kuntibhoj, and Shaibya—all the best of men.  In their ranks, they also have the courageous Yudhamanyu, the gallant Uttamauja, the son of Subhadra, and the sons of Draupadi, who are all great warrior chiefs.","{""atra"": ""here"", ""śhūrāḥ"": ""powerful warriors"", ""mahā-iṣhu-āsāḥ"": ""great bowmen"", ""bhīma-arjuna-samāḥ"": ""equal to Bheem and Arjun"", ""yudhi"": ""in military prowess"", ""yuyudhānaḥ"": ""Yuyudhan"", ""virāṭaḥ"": ""Virat"", ""cha"": ""and"", ""drupadaḥ"": ""Drupad"", ""mahā-rathaḥ"": ""warriors who could single handedly match the strength of ten thousand ordinary warriors"", ""dhṛiṣhṭaketuḥ"": ""Dhrishtaketu"", ""chekitānaḥ"": ""Chekitan"", ""kāśhirājaḥ"": ""Kashiraj"", ""vīrya-vān"": ""gallant"", ""purujit"": ""Purujit"", ""kuntibhojaḥ"": ""Kuntibhoj"", ""śhaibyaḥ"": ""Shaibya"", ""nara-puṅgavaḥ"": ""best of men"", ""yudhāmanyuḥ"": ""Yudhamanyu"", ""vikrāntaḥ"": ""courageous"", ""uttamaujāḥ"": ""Uttamauja"", ""saubhadraḥ"": ""the son of Subhadra"", ""draupadeyāḥ"": ""the sons of Draupadi"", ""sarve"": ""all"", ""eva"": ""indeed"", ""mahā-rathāḥ"": ""warriors who could single handedly match the strength of ten thousand ordinary warriors""}","atra śhūrā maheṣhvāsā bhīmārjuna-samā yudhi 
 yuyudhāno virāṭaśhcha drupadaśhcha mahā-rathaḥ 
 dhṛiṣhṭaketuśhchekitānaḥ kāśhirājaśhcha vīryavān 
 purujit kuntibhojaśhcha śhaibyaśhcha nara-puṅgavaḥ 
 yudhāmanyuśhcha vikrānta uttamaujāśhcha vīryavān 
 saubhadro draupadeyāśhcha sarva eva mahā-rathāḥ","अत्र शूरा महेष्वासा भीमार्जुनसमा युधि  युयुधानो विराटश्च द्रुपदश्च महारथ: || 4||
धृष्टकेतुश्चेकितान: काशिराजश्च वीर्यवान् |
पुरुजित्कुन्तिभोजश्च शैब्यश्च नरपुङ्गव: || 5||
युधामन्युश्च विक्रान्त उत्तमौजाश्च वीर्यवान् |
सौभद्रो द्रौपदेयाश्च सर्व एव महारथा: || 6||","यहाँ इस सेना में भीम और अर्जुन के समान बलशाली युद्ध करने वाले महारथी युयुधान, विराट और द्रुपद जैसे अनेक शूरवीर धनुर्धर हैं। यहाँ पर इनके साथ धृष्टकेतु, चेकितान काशी के पराक्रमी राजा कांशिराज, पुरूजित, कुन्तीभोज और शैव्य सभी महान सेना नायक हैं। इनकी सेना में पराक्रमी युधमन्यु, शूरवीर, उत्तमौजा, सुभद्रा और द्रोपदी के पुत्र भी हैं जो सभी निश्चय ही महाशक्तिशाली योद्धा हैं।","अत्र शूरा महेष्वासा भीमार्जुनसमा युधि । 
 युयुधानो विराटश्च द्रुपदश्च महारथः॥4॥ 
 
धृष्टकेतुश्चेकितानः काशिराजश्च वीर्यवान् । 
 पुरुजित्कुन्तिभोजश्च शैब्यश्च नरपुङ्गवः॥5॥ 
 
युधामन्युश्च विक्रान्त उत्तमौजाश्च वीर्यवान् । 
 सौभद्रो द्रौपदेयाश्च सर्व एव महारथाः॥6॥","వారి పక్షాన సైన్యంలో ఉన్న ఎంతోమంది శక్తివంతమైన యోధులను వీక్షించండి - యుయుధానుడు, విరాటుడు, మరియు ద్రుపదుడు వంటివారు గొప్ప ధనుస్సులను ధరించి ఉన్నారు మరియు వారు యుద్ధ శౌర్యంలో 	భీమార్జునులతో సమానమైన వారు. అక్కడున్న పరాక్రమవంతులైన ధృష్టకేతుడు, చేకితానుడు, వీరుడైన కాశీరాజు, పురుజిత్తు, కుంతిభోజుడు మరియు శైబ్యుడు - వీరందరూ ఉత్తమ పురుషులే. వారి సైన్యంలో ఇంకా, ధైర్యశాలి యుధామన్యుడు, వీరుడైన ఉత్తమౌజుడు, సుభద్ర కుమారుడు, మరియు ద్రౌపదీ పుత్రులు ఉన్నారు, వీరందరూ శ్రేష్ఠమైన యుద్ధ వీరులే.","అత్ర శూరా మహేష్వాసా భీమార్జునసమా యుధి ।  
  యుయుధానో విరాటశ్చ ద్రుపదశ్చ మహారథః ।। 4 ।।  
  ధృష్టకేతుశ్చేకితానః కాశిరాజశ్చ వీర్యవాన్ ।  
  పురుజిత్ కుంతిభోజశ్చ శైబ్యశ్చ నరపుంగవః ।। 5 ।।  
  యుధామన్యుశ్చ విక్రాంత ఉత్తమౌజాశ్చ వీర్యవాన్ ।  
  సౌభద్రో ద్రౌపదేయాశ్చ సర్వ ఏవ మహారథాః ।। 6 ।।",4,2
3,1.5,1,5,"Behold in their ranks are many powerful warriors, like Yuyudhan, Virat, and Drupad, wielding mighty bows and equal in military prowess to Bheem and Arjun.  There are also accomplished heroes like Dhrishtaketu, Chekitan, the gallant King of Kashi, Purujit, Kuntibhoj, and Shaibya—all the best of men.  In their ranks, they also have the courageous Yudhamanyu, the gallant Uttamauja, the son of Subhadra, and the sons of Draupadi, who are all great warrior chiefs.","{""atra"": ""here"", ""śhūrāḥ"": ""powerful warriors"", ""mahā-iṣhu-āsāḥ"": ""great bowmen"", ""bhīma-arjuna-samāḥ"": ""equal to Bheem and Arjun"", ""yudhi"": ""in military prowess"", ""yuyudhānaḥ"": ""Yuyudhan"", ""virāṭaḥ"": ""Virat"", ""cha"": ""and"", ""drupadaḥ"": ""Drupad"", ""mahā-rathaḥ"": ""warriors who could single handedly match the strength of ten thousand ordinary warriors"", ""dhṛiṣhṭaketuḥ"": ""Dhrishtaketu"", ""chekitānaḥ"": ""Chekitan"", ""kāśhirājaḥ"": ""Kashiraj"", ""vīrya-vān"": ""gallant"", ""purujit"": ""Purujit"", ""kuntibhojaḥ"": ""Kuntibhoj"", ""śhaibyaḥ"": ""Shaibya"", ""nara-puṅgavaḥ"": ""best of men"", ""yudhāmanyuḥ"": ""Yudhamanyu"", ""vikrāntaḥ"": ""courageous"", ""uttamaujāḥ"": ""Uttamauja"", ""saubhadraḥ"": ""the son of Subhadra"", ""draupadeyāḥ"": ""the sons of Draupadi"", ""sarve"": ""all"", ""eva"": ""indeed"", ""mahā-rathāḥ"": ""warriors who could single handedly match the strength of ten thousand ordinary warriors""}","atra śhūrā maheṣhvāsā bhīmārjuna-samā yudhi 
 yuyudhāno virāṭaśhcha drupadaśhcha mahā-rathaḥ 
 dhṛiṣhṭaketuśhchekitānaḥ kāśhirājaśhcha vīryavān 
 purujit kuntibhojaśhcha śhaibyaśhcha nara-puṅgavaḥ 
 yudhāmanyuśhcha vikrānta uttamaujāśhcha vīryavān 
 saubhadro draupadeyāśhcha sarva eva mahā-rathāḥ","अत्र शूरा महेष्वासा भीमार्जुनसमा युधि  युयुधानो विराटश्च द्रुपदश्च महारथ: || 4||
धृष्टकेतुश्चेकितान: काशिराजश्च वीर्यवान् |
पुरुजित्कुन्तिभोजश्च शैब्यश्च नरपुङ्गव: || 5||
युधामन्युश्च विक्रान्त उत्तमौजाश्च वीर्यवान् |
सौभद्रो द्रौपदेयाश्च सर्व एव महारथा: || 6||","यहाँ इस सेना में भीम और अर्जुन के समान बलशाली युद्ध करने वाले महारथी युयुधान, विराट और द्रुपद जैसे अनेक शूरवीर धनुर्धर हैं। यहाँ पर इनके साथ धृष्टकेतु, चेकितान काशी के पराक्रमी राजा कांशिराज, पुरूजित, कुन्तीभोज और शैव्य सभी महान सेना नायक हैं। इनकी सेना में पराक्रमी युधमन्यु, शूरवीर, उत्तमौजा, सुभद्रा और द्रोपदी के पुत्र भी हैं जो सभी निश्चय ही महाशक्तिशाली योद्धा हैं।","अत्र शूरा महेष्वासा भीमार्जुनसमा युधि । 
 युयुधानो विराटश्च द्रुपदश्च महारथः॥4॥ 
 
धृष्टकेतुश्चेकितानः काशिराजश्च वीर्यवान् । 
 पुरुजित्कुन्तिभोजश्च शैब्यश्च नरपुङ्गवः॥5॥ 
 
युधामन्युश्च विक्रान्त उत्तमौजाश्च वीर्यवान् । 
 सौभद्रो द्रौपदेयाश्च सर्व एव महारथाः॥6॥","వారి పక్షాన సైన్యంలో ఉన్న ఎంతోమంది శక్తివంతమైన యోధులను వీక్షించండి - యుయుధానుడు, విరాటుడు, మరియు ద్రుపదుడు వంటివారు గొప్ప ధనుస్సులను ధరించి ఉన్నారు మరియు వారు యుద్ధ శౌర్యంలో 	భీమార్జునులతో సమానమైన వారు. అక్కడున్న పరాక్రమవంతులైన ధృష్టకేతుడు, చేకితానుడు, వీరుడైన కాశీరాజు, పురుజిత్తు, కుంతిభోజుడు మరియు శైబ్యుడు - వీరందరూ ఉత్తమ పురుషులే. వారి సైన్యంలో ఇంకా, ధైర్యశాలి యుధామన్యుడు, వీరుడైన ఉత్తమౌజుడు, సుభద్ర కుమారుడు, మరియు ద్రౌపదీ పుత్రులు ఉన్నారు, వీరందరూ శ్రేష్ఠమైన యుద్ధ వీరులే.","అత్ర శూరా మహేష్వాసా భీమార్జునసమా యుధి ।  
  యుయుధానో విరాటశ్చ ద్రుపదశ్చ మహారథః ।। 4 ।।  
  ధృష్టకేతుశ్చేకితానః కాశిరాజశ్చ వీర్యవాన్ ।  
  పురుజిత్ కుంతిభోజశ్చ శైబ్యశ్చ నరపుంగవః ।। 5 ।।  
  యుధామన్యుశ్చ విక్రాంత ఉత్తమౌజాశ్చ వీర్యవాన్ ।  
  సౌభద్రో ద్రౌపదేయాశ్చ సర్వ ఏవ మహారథాః ।। 6 ।।",4,2
3,1.6,1,6,"Behold in their ranks are many powerful warriors, like Yuyudhan, Virat, and Drupad, wielding mighty bows and equal in military prowess to Bheem and Arjun.  There are also accomplished heroes like Dhrishtaketu, Chekitan, the gallant King of Kashi, Purujit, Kuntibhoj, and Shaibya—all the best of men.  In their ranks, they also have the courageous Yudhamanyu, the gallant Uttamauja, the son of Subhadra, and the sons of Draupadi, who are all great warrior chiefs.","{""atra"": ""here"", ""śhūrāḥ"": ""powerful warriors"", ""mahā-iṣhu-āsāḥ"": ""great bowmen"", ""bhīma-arjuna-samāḥ"": ""equal to Bheem and Arjun"", ""yudhi"": ""in military prowess"", ""yuyudhānaḥ"": ""Yuyudhan"", ""virāṭaḥ"": ""Virat"", ""cha"": ""and"", ""drupadaḥ"": ""Drupad"", ""mahā-rathaḥ"": ""warriors who could single handedly match the strength of ten thousand ordinary warriors"", ""dhṛiṣhṭaketuḥ"": ""Dhrishtaketu"", ""chekitānaḥ"": ""Chekitan"", ""kāśhirājaḥ"": ""Kashiraj"", ""vīrya-vān"": ""gallant"", ""purujit"": ""Purujit"", ""kuntibhojaḥ"": ""Kuntibhoj"", ""śhaibyaḥ"": ""Shaibya"", ""nara-puṅgavaḥ"": ""best of men"", ""yudhāmanyuḥ"": ""Yudhamanyu"", ""vikrāntaḥ"": ""courageous"", ""uttamaujāḥ"": ""Uttamauja"", ""saubhadraḥ"": ""the son of Subhadra"", ""draupadeyāḥ"": ""the sons of Draupadi"", ""sarve"": ""all"", ""eva"": ""indeed"", ""mahā-rathāḥ"": ""warriors who could single handedly match the strength of ten thousand ordinary warriors""}","atra śhūrā maheṣhvāsā bhīmārjuna-samā yudhi 
 yuyudhāno virāṭaśhcha drupadaśhcha mahā-rathaḥ 
 dhṛiṣhṭaketuśhchekitānaḥ kāśhirājaśhcha vīryavān 
 purujit kuntibhojaśhcha śhaibyaśhcha nara-puṅgavaḥ 
 yudhāmanyuśhcha vikrānta uttamaujāśhcha vīryavān 
 saubhadro draupadeyāśhcha sarva eva mahā-rathāḥ","अत्र शूरा महेष्वासा भीमार्जुनसमा युधि  युयुधानो विराटश्च द्रुपदश्च महारथ: || 4||
धृष्टकेतुश्चेकितान: काशिराजश्च वीर्यवान् |
पुरुजित्कुन्तिभोजश्च शैब्यश्च नरपुङ्गव: || 5||
युधामन्युश्च विक्रान्त उत्तमौजाश्च वीर्यवान् |
सौभद्रो द्रौपदेयाश्च सर्व एव महारथा: || 6||","यहाँ इस सेना में भीम और अर्जुन के समान बलशाली युद्ध करने वाले महारथी युयुधान, विराट और द्रुपद जैसे अनेक शूरवीर धनुर्धर हैं। यहाँ पर इनके साथ धृष्टकेतु, चेकितान काशी के पराक्रमी राजा कांशिराज, पुरूजित, कुन्तीभोज और शैव्य सभी महान सेना नायक हैं। इनकी सेना में पराक्रमी युधमन्यु, शूरवीर, उत्तमौजा, सुभद्रा और द्रोपदी के पुत्र भी हैं जो सभी निश्चय ही महाशक्तिशाली योद्धा हैं।","अत्र शूरा महेष्वासा भीमार्जुनसमा युधि । 
 युयुधानो विराटश्च द्रुपदश्च महारथः॥4॥ 
 
धृष्टकेतुश्चेकितानः काशिराजश्च वीर्यवान् । 
 पुरुजित्कुन्तिभोजश्च शैब्यश्च नरपुङ्गवः॥5॥ 
 
युधामन्युश्च विक्रान्त उत्तमौजाश्च वीर्यवान् । 
 सौभद्रो द्रौपदेयाश्च सर्व एव महारथाः॥6॥","వారి పక్షాన సైన్యంలో ఉన్న ఎంతోమంది శక్తివంతమైన యోధులను వీక్షించండి - యుయుధానుడు, విరాటుడు, మరియు ద్రుపదుడు వంటివారు గొప్ప ధనుస్సులను ధరించి ఉన్నారు మరియు వారు యుద్ధ శౌర్యంలో 	భీమార్జునులతో సమానమైన వారు. అక్కడున్న పరాక్రమవంతులైన ధృష్టకేతుడు, చేకితానుడు, వీరుడైన కాశీరాజు, పురుజిత్తు, కుంతిభోజుడు మరియు శైబ్యుడు - వీరందరూ ఉత్తమ పురుషులే. వారి సైన్యంలో ఇంకా, ధైర్యశాలి యుధామన్యుడు, వీరుడైన ఉత్తమౌజుడు, సుభద్ర కుమారుడు, మరియు ద్రౌపదీ పుత్రులు ఉన్నారు, వీరందరూ శ్రేష్ఠమైన యుద్ధ వీరులే.","అత్ర శూరా మహేష్వాసా భీమార్జునసమా యుధి ।  
  యుయుధానో విరాటశ్చ ద్రుపదశ్చ మహారథః ।। 4 ।।  
  ధృష్టకేతుశ్చేకితానః కాశిరాజశ్చ వీర్యవాన్ ।  
  పురుజిత్ కుంతిభోజశ్చ శైబ్యశ్చ నరపుంగవః ।। 5 ।।  
  యుధామన్యుశ్చ విక్రాంత ఉత్తమౌజాశ్చ వీర్యవాన్ ।  
  సౌభద్రో ద్రౌపదేయాశ్చ సర్వ ఏవ మహారథాః ।। 6 ।।",4,2
4,1.7,1,7,"O best of Brahmins, hear too about the principal generals on our side, who are especially qualified to lead. These I now recount unto you.","{""asmākam"": ""ours"", ""tu"": ""but"", ""viśhiṣhṭāḥ"": ""special"", ""ye"": ""who"", ""tān"": ""them"", ""nibodha"": ""be informed"", ""dwija-uttama"": ""best of Brahmins"", ""nāyakāḥ"": ""principal generals"", ""mama"": ""our"", ""sainyasya"": ""of army"", ""sanjñā-artham"": ""for information"", ""bravīmi"": ""I recount"", ""te"": ""unto you""}","asmākaṁ tu viśhiṣhṭā ye tānnibodha dwijottama 
  nāyakā mama sainyasya sanjñārthaṁ tānbravīmi te","अस्माकं तु विशिष्टा ये तान्निबोध द्विजोत्तम |
नायका मम सैन्यस्य संज्ञार्थं तान्ब्रवीमि ते || 7||","हे ब्राह्मण श्रेष्ठ! हमारे पक्ष की ओर के उन सेना नायकों के संबंध में भी सुनिए, जो सेना को संचालित करने में विशेष रूप से निपुण हैं। अब मैं आपके समक्ष उनका वर्णन करता हूँ।","अस्माकं तु विशिष्टा ये तान्निबोध द्विजोत्तम। 
 नायका मम सैन्यस्य संज्ञार्थं तान्ब्रवीमि ते ॥7॥","ఓ బ్రాహ్మణోత్తమా, మన పక్షంలో ఉన్న ప్రధాన యోధుల గురించి కూడా వినుము, వీరు నాయకులుగా అత్యంత యోగ్యమైన వారు. మీ ఎఱుకకై ఇప్పుడు వీరి గురించి తెలుపుచున్నాను.","అస్మాకం తు విశిష్టా యే తాన్నిబోధ ద్విజోత్తమ ।  
  నాయకా మమ సైన్యస్య సంజ్ఞార్థం తాన్ బ్రవీమి తే ।। 7 ।।",5,3
5,1.8,1,8,"There are personalities like yourself, Bheeshma, Karna, Kripa, Ashwatthama, Vikarn, and Bhurishrava, who are ever victorious in battle.","{""bhavān"": ""yourself"", ""bhīṣhmaḥ"": ""Bheeshma"", ""cha"": ""also"", ""karṇaḥ"": ""Karna"", ""kṛipaḥ"": ""Kripa"", ""samitim-jayaḥ"": ""victorious in battle"", ""aśhvatthāmā"": ""Ashvatthama"", ""vikarṇaḥ"": ""Vikarna"", ""saumadattiḥ"": ""Bhurishrava"", ""tathā"": ""thus"", ""eva"": ""even""}","bhavānbhīṣhmaśhcha karṇaśhcha kṛipaśhcha samitiñjayaḥ 
  aśhvatthāmā vikarṇaśhcha saumadattis tathaiva cha","भवान्भीष्मश्च कर्णश्च कृपश्च समितिञ्जय: |
अश्वत्थामा विकर्णश्च सौमदत्तिस्तथैव च || 8||","इस सेना में सदा विजयी रहने वाले आपके समान भीष्म, कर्ण, कृपाचार्य, अश्वत्थामा, विकर्ण तथा सोमदत्त का पुत्र भूरिश्रवा आदि महा पराक्रमी योद्धा हैं जो युद्ध में सदा विजेता रहे हैं।","भवान्भीष्मश्च कर्णश्च कृपश्च समितिञ्जयः । 
 अश्वत्थामा विकर्णश्च सौमदत्तिस्तथैव च ॥8॥","మీరును, భీష్ముడు, కర్ణుడు, కృపాచార్యుడు, అశ్వత్థామ, వికర్ణుడు మరియు భూరిశ్రవుడు - వీరందరూ ఎప్పటికీ యుద్ధములో విజయులే.","భవాన్  భీష్మశ్చ కర్ణశ్చ కృపశ్చ సమితింజయః ।  
  అశ్వత్థామా వికర్ణశ్చ సౌమదత్తిస్తథైవ చ ।। 8 ।।",6,4
6,1.9,1,9,"Also, there are many other heroic warriors, who are prepared to lay down their lives for my sake. They are all skilled in the art of warfare, and equipped with various kinds of weapons.<em></em>","{""anye"": ""others"", ""cha"": ""also"", ""bahavaḥ"": ""many"", ""śhūrāḥ"": ""heroic warriors"", ""mat-arthe"": ""for my sake"", ""tyakta-jīvitāḥ"": ""prepared to lay down their lives"", ""nānā-śhastra-praharaṇāḥ"": ""equipped with various kinds of weapons"", ""sarve"": ""all"", ""yuddha-viśhāradāḥ"": ""skilled in the art of warfare""}","anye cha bahavaḥ śhūrā madarthe tyaktajīvitāḥ 
  nānā-śhastra-praharaṇāḥ sarve yuddha-viśhāradāḥ",अन्ये च बहव: शूरा मदर्थे त्यक्तजीविता: |नानाशस्त्रप्रहरणा: सर्वे युद्धविशारदा: || 9||,यहाँ हमारे पक्ष में अन्य अनेक महायोद्धा भी हैं जो मेरे लिए अपने जीवन का बलिदान करने के लिए तत्पर हैं। वे युद्ध कौशल में पूर्णतया निपुण और विविध प्रकार के शस्त्रों से सुसज्जित हैं।,"अन्ये च बहवः शूरा मदर्थे त्यक्तजीविताः। 
 नानाशस्त्रप्रहरणाः सर्वे युद्धविशारदाः ॥9॥",ఇంకా చాలా మంది వీరయోధులు కూడా నా కోసం ప్రాణాలు అర్పించటానికి సిద్దంగా వున్నారు. వీరందరూ యుద్ధవిద్యలో ప్రావీణ్యం కలవారు మరియు అనేక రకములైన ఆయుధములను కలిగిఉన్నారు.,"అన్యే చ బహవః శూరా మదర్థే త్యక్తజీవితాః ।  
  నానాశస్త్ర ప్రహరణాః సర్వే యుద్ధవిశారదాః ।। 9 ।।",7,5
7,1.1,1,10,"The strength of our army is unlimited and we are safely marshalled by Grandsire Bheeshma, while the strength of the Pandava army, carefully marshalled by Bheem, is limited.<em></em>","{""aparyāptam"": ""unlimited"", ""tat"": ""that"", ""asmākam"": ""ours"", ""balam"": ""strength"", ""bhīṣhma"": ""by Grandsire Bheeshma"", ""abhirakṣhitam"": ""carefully marshalled"", ""paryāptam"": ""limited"", ""tu"": ""but"", ""idam"": ""this"", ""eteṣhām"": ""their"", ""bhīma"": ""Bheem""}","aparyāptaṁ tadasmākaṁ balaṁ bhīṣhmābhirakṣhitam 
  paryāptaṁ tvidameteṣhāṁ balaṁ bhīmābhirakṣhitam",अपर्याप्तं तदस्माकं बलं भीष्माभिरक्षितम् |पर्याप्तं त्विदमेतेषां बलं भीमाभिरक्षितम् || 10||,हमारी शक्ति असीमित है और हम सब महान सेना नायक भीष्म पितामह के नेतृत्व में पूरी तरह से संरक्षित हैं जबकि पाण्डवों की सेना की शक्ति भीम द्वारा भलीभाँति रक्षित होने के पश्चात भी सीमित है।,"अपर्याप्तं तदस्माकं बलं भीष्माभिरक्षितम्। 
 पर्याप्तं त्विदमेतेषां बलं भीमाभिरक्षितम् ॥10॥","మన సైనిక బలం అపరిమితమైనది, మరియు మనం భీష్మ పితామహుడిచే రక్షింపబడుతున్నాము, కానీ, భీముడిచే జాగ్రత్తగా ఏర్పాటుచేయబడి రక్షింపబడుచున్న పాండవ సైన్యం, పరిమితమైనది.","అపర్యాప్తం తదస్మాకం బలం భీష్మాభిరక్షితమ్।  
  పర్యాప్తం త్విదమేతేషాం బలం భీమాభిరక్షితం ।। 10 ।।",8,6
